model_name,model_label,layer,max_layer,relative_layer,alignment,target_layer,is_target_layer
qwen25_7b,Qwen2.5 7B,19,27,0.7037037037037037,0.7501373210243889,18,False
qwen25_7b,Qwen2.5 7B,20,27,0.7407407407407407,0.5684599937811163,18,False
qwen25_7b,Qwen2.5 7B,21,27,0.7777777777777778,0.4920219359068302,18,False
qwen25_7b,Qwen2.5 7B,22,27,0.8148148148148148,0.27727658538422806,18,False
qwen25_7b,Qwen2.5 7B,23,27,0.8518518518518519,0.28267110454296934,18,False
qwen25_7b,Qwen2.5 7B,24,27,0.8888888888888888,0.20425532111367614,18,False
qwen25_7b,Qwen2.5 7B,25,27,0.9259259259259259,0.154057994390214,18,False
qwen25_7b,Qwen2.5 7B,26,27,0.9629629629629629,0.1273997390882695,18,False
qwen25_7b,Qwen2.5 7B,27,27,1.0,0.00986453472144064,18,False
llama3_8b,Llama-3.1 8B,0,31,0.0,0.593331257859988,13,False
llama3_8b,Llama-3.1 8B,1,31,0.03225806451612903,0.7369233585356711,13,False
llama3_8b,Llama-3.1 8B,2,31,0.06451612903225806,0.6430885777705058,13,False
llama3_8b,Llama-3.1 8B,3,31,0.0967741935483871,0.621421140482999,13,False
llama3_8b,Llama-3.1 8B,4,31,0.12903225806451613,0.6241071629492214,13,False
llama3_8b,Llama-3.1 8B,5,31,0.16129032258064516,0.5376177519087177,13,False
llama3_8b,Llama-3.1 8B,6,31,0.1935483870967742,0.454083967954526,13,False
llama3_8b,Llama-3.1 8B,7,31,0.22580645161290322,0.23695280830773147,13,False
llama3_8b,Llama-3.1 8B,8,31,0.25806451612903225,0.2655467943575296,13,False
llama3_8b,Llama-3.1 8B,9,31,0.2903225806451613,0.16600653470530186,13,False
llama3_8b,Llama-3.1 8B,10,31,0.3225806451612903,0.1485334734925285,13,False
llama3_8b,Llama-3.1 8B,11,31,0.3548387096774194,0.13012850800559855,13,False
llama3_8b,Llama-3.1 8B,12,31,0.3870967741935484,0.5313896298514813,13,False
llama3_8b,Llama-3.1 8B,13,31,0.41935483870967744,0.7551184919569796,13,True
llama3_8b,Llama-3.1 8B,14,31,0.45161290322580644,0.6698157223750519,13,False
llama3_8b,Llama-3.1 8B,15,31,0.4838709677419355,0.6420690500405004,13,False
llama3_8b,Llama-3.1 8B,16,31,0.5161290322580645,0.5956229814036101,13,False
llama3_8b,Llama-3.1 8B,17,31,0.5483870967741935,0.4927494820731089,13,False
llama3_8b,Llama-3.1 8B,18,31,0.5806451612903226,0.37810106898712453,13,False
llama3_8b,Llama-3.1 8B,19,31,0.6129032258064516,0.33846768171163205,13,False
llama3_8b,Llama-3.1 8B,20,31,0.6451612903225806,0.3093176248833318,13,False
llama3_8b,Llama-3.1 8B,21,31,0.6774193548387096,0.3126876082211532,13,False
llama3_8b,Llama-3.1 8B,22,31,0.7096774193548387,0.273110782435662,13,False
llama3_8b,Llama-3.1 8B,23,31,0.7419354838709677,0.24531944919223464,13,False
llama3_8b,Llama-3.1 8B,24,31,0.7741935483870968,0.22070707936682915,13,False
llama3_8b,Llama-3.1 8B,25,31,0.8064516129032258,0.2310914333659136,13,False
llama3_8b,Llama-3.1 8B,26,31,0.8387096774193549,0.2187708833448806,13,False
llama3_8b,Llama-3.1 8B,27,31,0.8709677419354839,0.20265365041001815,13,False
llama3_8b,Llama-3.1 8B,28,31,0.9032258064516129,0.19393425156996036,13,False
llama3_8b,Llama-3.1 8B,29,31,0.9354838709677419,0.1612284686570789,13,False
llama3_8b,Llama-3.1 8B,30,31,0.967741935483871,0.14686960792875062,13,False
llama3_8b,Llama-3.1 8B,31,31,1.0,0.18129455136673772,13,False
gemma2_9b,Gemma-2 9B,0,41,0.0,0.5604623317289062,22,False
gemma2_9b,Gemma-2 9B,1,41,0.024390243902439025,0.17516630315053128,22,False
gemma2_9b,Gemma-2 9B,2,41,0.04878048780487805,0.14185104732991494,22,False
gemma2_9b,Gemma-2 9B,3,41,0.07317073170731707,0.15097330367787246,22,False
gemma2_9b,Gemma-2 9B,4,41,0.0975609756097561,0.11469021079121455,22,False
gemma2_9b,Gemma-2 9B,5,41,0.12195121951219512,0.01881463781058249,22,False
gemma2_9b,Gemma-2 9B,6,41,0.14634146341463414,0.3947944578840893,22,False
gemma2_9b,Gemma-2 9B,7,41,0.17073170731707318,0.3688555064403161,22,False
gemma2_9b,Gemma-2 9B,8,41,0.1951219512195122,0.011984866182280215,22,False
gemma2_9b,Gemma-2 9B,9,41,0.21951219512195122,0.15952359431470836,22,False
gemma2_9b,Gemma-2 9B,10,41,0.24390243902439024,0.5253602823640721,22,False
gemma2_9b,Gemma-2 9B,11,41,0.2682926829268293,0.519681233202785,22,False
gemma2_9b,Gemma-2 9B,12,41,0.2926829268292683,0.5315513000439173,22,False
