panel,metric,condition,alpha_norm,mean,ci_low,ci_high,n_models,endpoint,model_name,model_mean,mean_across_models
C. Item-level steering slopes,verification_correct_margin_slope,,,,11.479987909030736,20.85186354738857,8,verification_true_correctness_margin,qwen25_3b,16.594097608978103,16.301200503309573
C. Item-level steering slopes,verification_correct_margin_slope,,,,11.479987909030736,20.85186354738857,8,verification_true_correctness_margin,qwen25_72b,18.858568429441167,16.301200503309573
C. Item-level steering slopes,verification_correct_margin_slope,,,,11.479987909030736,20.85186354738857,8,verification_true_correctness_margin,qwen25_7b,22.826505745974465,16.301200503309573
C. Item-level steering slopes,verification_correct_margin_slope,,,,-19.34273024291794,-11.239479446262576,8,verification_false_correctness_margin,gemma2_9b,-7.949363169959098,-15.454915106964837
C. Item-level steering slopes,verification_correct_margin_slope,,,,-19.34273024291794,-11.239479446262576,8,verification_false_correctness_margin,llama3_8b,-10.29040272607948,-15.454915106964837
C. Item-level steering slopes,verification_correct_margin_slope,,,,-19.34273024291794,-11.239479446262576,8,verification_false_correctness_margin,mistral_7b,-6.541342625473487,-15.454915106964837
C. Item-level steering slopes,verification_correct_margin_slope,,,,-19.34273024291794,-11.239479446262576,8,verification_false_correctness_margin,qwen25_14b,-20.967684228348016,-15.454915106964837
C. Item-level steering slopes,verification_correct_margin_slope,,,,-19.34273024291794,-11.239479446262576,8,verification_false_correctness_margin,qwen25_32b,-20.98297622243564,-15.454915106964837
C. Item-level steering slopes,verification_correct_margin_slope,,,,-19.34273024291794,-11.239479446262576,8,verification_false_correctness_margin,qwen25_3b,-16.570313205899616,-15.454915106964837
C. Item-level steering slopes,verification_correct_margin_slope,,,,-19.34273024291794,-11.239479446262576,8,verification_false_correctness_margin,qwen25_72b,-18.329834778381123,-15.454915106964837
C. Item-level steering slopes,verification_correct_margin_slope,,,,-19.34273024291794,-11.239479446262576,8,verification_false_correctness_margin,qwen25_7b,-22.007403899142243,-15.454915106964837
D. Accuracy sanity check,candidate_accuracy,direct_numeric,-1.0,0.9908333333333332,0.9741666666666666,1.0,8,,,,
D. Accuracy sanity check,candidate_accuracy,direct_numeric,-0.8,0.9958333333333332,0.9908125,1.0,8,,,,
D. Accuracy sanity check,candidate_accuracy,direct_numeric,-0.6,0.9991666666666666,0.9975,1.0,8,,,,
D. Accuracy sanity check,candidate_accuracy,direct_numeric,-0.4,0.9991666666666666,0.9975,1.0,8,,,,
D. Accuracy sanity check,candidate_accuracy,direct_numeric,-0.2,0.9991666666666666,0.9975,1.0,8,,,,
