model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,word_A,word_B,template_name,alpha_raw,alpha_norm,vaa_projection_AB,vaa_projection_BA,vaa_projection_delta,abs_vaa_projection_delta,vaa_projection_unit_AB,vaa_projection_unit_BA,vaa_projection_unit_delta,abs_vaa_projection_unit_delta,vaa_projection_cosine_AB,vaa_projection_cosine_BA,vaa_projection_cosine_delta,abs_vaa_projection_cosine_delta,activation_norm_AB,activation_norm_BA
qwen25_14b,28,valenced_nonopposite::deontic::006,valenced_nonopposite,deontic,valenced,nonopposite,Righteous,Shameful,preference_control,0.0,0.0,-11.667802810668944,-10.56362533569336,-1.104177474975586,1.104177474975586,-11.667802810668944,-10.56362533569336,-1.104177474975586,1.104177474975586,-0.107652373611927,-0.098177894949913,-0.009474478662014,0.009474478662014,108.38407135009766,107.5967788696289
qwen25_14b,28,valenced_nonopposite::deontic::007,valenced_nonopposite,deontic,valenced,nonopposite,Responsible,Indulgent,preference_control,0.0,0.0,-7.00337553024292,-8.306556701660156,1.3031811714172363,1.3031811714172363,-7.00337553024292,-8.306556701660156,1.3031811714172363,1.3031811714172363,-0.0659372061491012,-0.0783480629324913,0.01241085678339,0.01241085678339,106.21280670166016,106.0212173461914
qwen25_14b,28,valenced_nonopposite::deontic::008,valenced_nonopposite,deontic,valenced,nonopposite,Loyal,Insincere,preference_control,0.0,0.0,-9.623310089111328,-10.086185455322266,0.4628753662109375,0.4628753662109375,-9.623310089111328,-10.086185455322266,0.4628753662109375,0.4628753662109375,-0.0896539539098739,-0.0940740928053855,0.0044201388955116,0.0044201388955116,107.33837890625,107.21533203125
qwen25_14b,28,valenced_nonopposite::deontic::009,valenced_nonopposite,deontic,valenced,nonopposite,Respectful,Malicious,preference_control,0.0,0.0,-9.40483856201172,-13.603713989257812,4.198875427246094,4.198875427246094,-9.40483856201172,-13.603713989257812,4.198875427246094,4.198875427246094,-0.0891283005475997,-0.1262650340795517,0.0371367335319519,0.0371367335319519,105.52022552490234,107.73936462402344
qwen25_14b,28,valenced_nonopposite::deontic::010,valenced_nonopposite,deontic,valenced,nonopposite,Kind,Harsh,preference_control,0.0,0.0,-7.223718643188477,-12.108882904052734,4.885164260864258,4.885164260864258,-7.223718643188477,-12.108882904052734,4.885164260864258,4.885164260864258,-0.0686309486627578,-0.1139020025730133,0.0452710539102554,0.0452710539102554,105.2545394897461,106.30965423583984
qwen25_14b,28,valenced_nonopposite::deontic::011,valenced_nonopposite,deontic,valenced,nonopposite,Trustworthy,Self-serving,preference_control,0.0,0.0,-8.587839126586914,-7.531736373901367,-1.0561027526855469,1.0561027526855469,-8.587839126586914,-7.531736373901367,-1.0561027526855469,1.0561027526855469,-0.0814178958535194,-0.071313701570034,-0.0101041942834854,0.0101041942834854,105.478515625,105.61415100097656
qwen25_14b,28,valenced_nonopposite::deontic::012,valenced_nonopposite,deontic,valenced,nonopposite,Upright,Biased,preference_control,0.0,0.0,-9.12636375427246,-11.36798858642578,2.2416248321533203,2.2416248321533203,-9.12636375427246,-11.36798858642578,2.2416248321533203,2.2416248321533203,-0.0852735638618469,-0.1053198501467704,0.0200462862849235,0.0200462862849235,107.0245361328125,107.93775939941406
qwen25_14b,28,valenced_nonopposite::deontic::013,valenced_nonopposite,deontic,valenced,nonopposite,Honorable,Immoral,preference_control,0.0,0.0,-12.996450424194336,-13.08466911315918,0.0882186889648437,0.0882186889648437,-12.996450424194336,-13.08466911315918,0.0882186889648437,0.0882186889648437,-0.1201218739151954,-0.1215124055743217,0.0013905316591262,0.0013905316591262,108.1938705444336,107.68175506591795
qwen25_14b,28,valenced_nonopposite::deontic::014,valenced_nonopposite,deontic,valenced,nonopposite,Disciplined,Unfair,preference_control,0.0,0.0,-8.004600524902344,-6.718598365783691,-1.2860021591186523,1.2860021591186523,-8.004600524902344,-6.718598365783691,-1.2860021591186523,1.2860021591186523,-0.0744337514042854,-0.0616210587322711,-0.0128126926720142,0.0128126926720142,107.53993225097656,109.0308837890625
qwen25_14b,28,valenced_nonopposite::deontic::015,valenced_nonopposite,deontic,valenced,nonopposite,Sincere,Evil,preference_control,0.0,0.0,-9.905624389648438,-12.307525634765623,2.4019012451171875,2.4019012451171875,-9.905624389648438,-12.307525634765623,2.4019012451171875,2.4019012451171875,-0.093838632106781,-0.1161440312862396,0.0223053991794586,0.0223053991794586,105.56019592285156,105.96778106689452
