model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,alpha_norm,template_name,first_token_logit_diff_canonical_AB,first_token_logit_diff_canonical_BA,logprob_diff_canonical_AB,logprob_diff_canonical_BA,d_AB,d_BA,semantic_component,position_component,first_token_d_AB,first_token_d_BA,first_token_semantic_component,first_token_position_component
llama3_8b,13,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,0.625,-1.75,0.625244140625,-1.7538161277770996,0.625244140625,-1.7538161277770996,-0.5642859935760498,1.1895301342010498,0.625,-1.75,-0.5625,1.1875
llama3_8b,13,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,1.5,-2.5,1.500086784362793,-2.496055126190185,1.500086784362793,-2.496055126190185,-0.4979841709136963,1.9980709552764893,1.5,-2.5,-0.5,2.0
llama3_8b,13,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,1.875,-3.125,1.8672325611114504,-3.1288859844207764,1.8672325611114504,-3.1288859844207764,-0.6308267116546631,2.4980592727661133,1.875,-3.125,-0.625,2.5
llama3_8b,13,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,1.0,-3.0,1.000023603439331,-3.000963568687439,1.000023603439331,-3.000963568687439,-1.000469982624054,2.000493586063385,1.0,-3.0,-1.0,2.0
llama3_8b,13,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,0.625,-3.125,0.62502121925354,-3.126943349838257,0.62502121925354,-3.126943349838257,-1.2509610652923584,1.8759822845458984,0.625,-3.125,-1.25,1.875
llama3_8b,13,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,1.875,-3.75,1.8789294958114624,-3.7460858821868896,1.8789294958114624,-3.7460858821868896,-0.9335781931877136,2.812507688999176,1.875,-3.75,-0.9375,2.8125
llama3_8b,13,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,2.25,-3.875,2.253934621810913,-3.8788983821868896,2.253934621810913,-3.8788983821868896,-0.8124818801879883,3.0664165019989014,2.25,-3.875,-0.8125,3.0625
llama3_8b,13,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,2.75,-4.125,2.746123790740967,-4.134757876396179,2.746123790740967,-4.134757876396179,-0.6943170428276062,3.440440833568573,2.75,-4.125,-0.6875,3.4375
llama3_8b,13,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,3.0,-4.125,3.0039381980896,-4.130850672721863,3.0039381980896,-4.130850672721863,-0.5634562373161316,3.567394435405731,3.0,-4.125,-0.5625,3.5625
llama3_8b,13,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,3.125,-4.125,3.1250405311584477,-4.124990105628967,3.1250405311584477,-4.124990105628967,-0.49997478723526,3.6250153183937073,3.125,-4.125,-0.5,3.625
llama3_8b,13,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,3.125,-4.25,3.1289546489715576,-4.255848288536072,3.1289546489715576,-4.255848288536072,-0.5634468197822571,3.692401468753815,3.125,-4.25,-0.5625,3.6875
llama3_8b,13,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,2.25,-0.75,2.2421188354492188,-0.7500858306884766,2.2421188354492188,-0.7500858306884766,0.7460165023803711,1.4961023330688477,2.25,-0.75,0.75,1.5
llama3_8b,13,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,2.5,-1.125,2.507773160934448,-1.1211295127868652,2.507773160934448,-1.1211295127868652,0.6933218240737915,1.8144513368606567,2.5,-1.125,0.6875,1.8125
llama3_8b,13,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,2.5,-1.375,2.4999769926071167,-1.3828366994857788,2.4999769926071167,-1.3828366994857788,0.558570146560669,1.941406846046448,2.5,-1.375,0.5625,1.9375
llama3_8b,13,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,2.0,-1.125,1.9999752044677732,-1.121113419532776,1.9999752044677732,-1.121113419532776,0.4394308924674988,1.5605443120002749,2.0,-1.125,0.4375,1.5625
