model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,alpha_norm,template_name,first_token_logit_diff_canonical_AB,first_token_logit_diff_canonical_BA,logprob_diff_canonical_AB,logprob_diff_canonical_BA,d_AB,d_BA,semantic_component,position_component,first_token_d_AB,first_token_d_BA,first_token_semantic_component,first_token_position_component
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,-2.25,2.5,-2.24365234375,2.4990234375,-2.24365234375,2.4990234375,0.127685546875,-2.371337890625,-2.25,2.5,0.125,-2.375
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,-0.75,0.75,-0.75390625,0.75390625,-0.75390625,0.75390625,0.0,-0.75390625,-0.75,0.75,0.0,-0.75
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,0.5,-1.0,0.498046875,-1.0,0.498046875,-1.0,-0.2509765625,0.7490234375,0.5,-1.0,-0.25,0.75
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,4.5,-6.0,4.48895263671875,-5.9975128173828125,4.48895263671875,-5.9975128173828125,-0.7542800903320312,5.243232727050781,4.5,-6.0,-0.75,5.25
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,8.0,-9.25,7.999660491943359,-9.249868392944336,7.999660491943359,-9.249868392944336,-0.6251039505004883,8.624764442443848,8.0,-9.25,-0.625,8.625
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,10.5,-10.0,10.499961137771606,-9.999836921691896,10.499961137771606,-9.999836921691896,0.2500621080398559,10.24989902973175,10.5,-10.0,0.25,10.25
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,11.75,-9.875,11.74996566772461,-9.874664306640623,11.74996566772461,-9.874664306640623,0.9376506805419922,10.812314987182615,11.75,-9.875,0.9375,10.8125
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,11.5,-8.75,11.49989366531372,-8.748794555664062,11.49989366531372,-8.748794555664062,1.375549554824829,10.124344110488892,11.5,-8.75,1.375,10.125
qwen25_3b,26,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-4.0,1.75,-4.0072021484375,1.7539069652557373,-4.0072021484375,1.7539069652557373,-1.1266475915908811,-2.8805545568466187,-4.0,1.75,-1.125,-2.875
qwen25_3b,26,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,-3.0,-0.25,-2.993896484375,-0.2499992847442627,-2.993896484375,-0.2499992847442627,-1.6219478845596311,-1.3719485998153689,-3.0,-0.25,-1.625,-1.375
qwen25_3b,26,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,-1.75,-1.75,-1.7509765625,-1.7539058923721311,-1.7509765625,-1.7539058923721311,-1.7524412274360657,0.0014646649360656,-1.75,-1.75,-1.75,0.0
qwen25_3b,26,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,-0.25,-3.5,-0.25,-3.501342535018921,-0.25,-3.501342535018921,-1.8756712675094604,1.6256712675094604,-0.25,-3.5,-1.875,1.625
qwen25_3b,26,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,2.25,-5.0,2.24267578125,-4.993163824081421,2.24267578125,-4.993163824081421,-1.3752440214157104,3.6179198026657104,2.25,-5.0,-1.375,3.625
qwen25_3b,26,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,4.25,-6.0,4.23541259765625,-5.99743640422821,4.23541259765625,-5.99743640422821,-0.8810119032859802,5.11642450094223,4.25,-6.0,-0.875,5.125
qwen25_3b,26,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,9.75,-8.25,9.74969482421875,-8.249666094779968,9.74969482421875,-8.249666094779968,0.7500143647193909,8.99968045949936,9.75,-8.25,0.75,9.0
qwen25_3b,26,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,13.125,-9.125,13.124752044677734,-9.124631762504578,13.124752044677734,-9.124631762504578,2.0000601410865784,11.124691903591156,13.125,-9.125,2.0,11.125
qwen25_3b,26,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,14.375,-9.25,14.374771118164062,-9.248397827148438,14.374771118164062,-9.248397827148438,2.5631866455078125,11.81158447265625,14.375,-9.25,2.5625,11.8125
qwen25_3b,26,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,15.0,-9.125,14.999576568603516,-9.11669909954071,14.999576568603516,-9.11669909954071,2.9414387345314026,12.058137834072111,15.0,-9.125,2.9375,12.0625
qwen25_3b,26,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,15.625,-9.25,15.623809814453123,-9.222167611122131,15.623809814453123,-9.222167611122131,3.200821101665497,12.422988712787628,15.625,-9.25,3.1875,12.4375
