"model_name","score_mode","component","pair_class","valence_status","opposition_status","estimate","SE","df","ci_low","ci_high","p_value","p_holm_across_models"
"qwen25_32b","sequence","semantic","valenced_opposite","valenced","opposite",10.2612428937885,0.313295572230112,203.999980209178,9.64353026681317,10.8789555207637,3.5001655611695e-83,2.45011589281865e-82
"qwen25_32b","sequence","position","neutral_nonopposite","neutral","nonopposite",2.90894478506343,0.265943316801513,203.999983412384,2.38459474824922,3.43329482187764,3.26943246029592e-22,6.53886492059184e-22
"qwen25_32b","sequence","position","valenced_nonopposite","valenced","nonopposite",-0.621544899170632,0.14960480403276,203.99998252507,-0.91651484031318,-0.326574958028084,4.79175415672022e-05,9.58350831344044e-05
"qwen25_32b","sequence","position","neutral_opposite","neutral","opposite",0.22247500719486,0.271427261111268,203.999983446369,-0.312687508139771,0.75763752252949,0.413372980811137,0.413372980811137
"qwen25_32b","sequence","position","valenced_opposite","valenced","opposite",-0.520134018543115,0.148666833632487,203.999982511306,-0.813254600131115,-0.227013436955116,0.000574001499957443,0.000574001499957443
"qwen25_32b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",-0.0316227766016822,0.559513782181324,203.999931566981,-1.13479422026959,1.07154866706623,0.95498422246413,1
"qwen25_32b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",9.85335833747023,0.314751093366784,203.999931209595,9.23277591550481,10.4739407594357,7.70833354680259e-80,5.39583348276181e-79
"qwen25_32b","first_token","semantic","neutral_opposite","neutral","opposite",-0.304174577018522,0.571051362666239,203.999931585187,-1.43009421693286,0.821745062895817,0.594850671083322,1
"qwen25_32b","first_token","semantic","valenced_opposite","valenced","opposite",10.2392439456563,0.312777712826363,203.999931199568,9.62255236093015,10.8559355303824,3.80842600162295e-83,2.66589820113607e-82
"qwen25_32b","first_token","position","neutral_nonopposite","neutral","nonopposite",2.9094391872486,0.265481353302387,203.999995889249,2.38599998598946,3.43287838850773,2.82735031361551e-22,5.65470062723102e-22
"qwen25_32b","first_token","position","valenced_nonopposite","valenced","nonopposite",-0.619139122582966,0.149344929260991,203.999998073143,-0.913596678667672,-0.32468156649826,4.96620497827572e-05,9.93240995655143e-05
"qwen25_32b","first_token","position","neutral_opposite","neutral","opposite",0.221673867229223,0.270955771589331,203.999995816056,-0.312559030461448,0.755906764919894,0.414244226375009,0.414244226375009
"qwen25_32b","first_token","position","valenced_opposite","valenced","opposite",-0.540753971760494,0.148408588185694,203.999998094961,-0.833365380767519,-0.24814256275347,0.000340929604485798,0.000340929604485798
"qwen25_72b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",-0.00804889236831789,0.38357104220008,204.000016833872,-0.764320914244182,0.748223129507546,0.983278850884904,1
"qwen25_72b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",5.53476010686922,0.215775569362446,204.000019849963,5.10932385609606,5.96019635764238,9.28272351937872e-66,3.71308940775149e-65
"qwen25_72b","sequence","semantic","neutral_opposite","neutral","opposite",0.562859692846689,0.391480555624062,204.000016631187,-0.209007207299063,1.33472659299244,0.152031002124027,1
"qwen25_72b","sequence","semantic","valenced_opposite","valenced","opposite",5.75459694653535,0.214422731139953,204.000019879005,5.3318280339741,6.1773658590966,7.4389071725302e-69,4.46334430351812e-68
"qwen25_72b","sequence","position","neutral_nonopposite","neutral","nonopposite",3.8959701340103,0.167549002820018,204.000033115479,3.56562031839639,4.22631994962421,2.85853258263321e-59,2.28682606610657e-58
"qwen25_72b","sequence","position","valenced_nonopposite","valenced","nonopposite",1.77858947094977,0.0942536779425074,204.000030306082,1.59275318062432,1.96442576127521,1.27069565532968e-46,7.62417393197811e-46
"qwen25_72b","sequence","position","neutral_opposite","neutral","opposite",2.88612343048099,0.171003984925494,204.000033219002,2.54896156178343,3.22328529917855,1.40822032550931e-40,1.12657626040745e-39
"qwen25_72b","sequence","position","valenced_opposite","valenced","opposite",1.46976791210288,0.0936627399669623,204.000030242421,1.28509675107056,1.6544390731352,6.40610703957483e-37,3.20305351978741e-36
"qwen25_72b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",-0.00783382420355663,0.38333488220775,204.000012075937,-0.763640218764298,0.747972570357184,0.98371555563653,1
"qwen25_72b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",5.53494113876508,0.215642718987414,204.000012058362,5.10976682378347,5.96011545374669,8.38960781034257e-66,3.35584312413703e-65
"qwen25_72b","first_token","semantic","neutral_opposite","neutral","opposite",0.568146902533495,0.391239525841201,204.000012013056,-0.203244768720621,1.33953857378761,0.147990182766073,1
"qwen25_72b","first_token","semantic","valenced_opposite","valenced","opposite",5.75687257787646,0.214290713690844,204.000012039825,5.33436395885932,6.1793811968936,6.33259063190502e-69,3.79955437914301e-68
"qwen25_72b","first_token","position","neutral_nonopposite","neutral","nonopposite",3.89757908610436,0.166765621013739,204.000017174598,3.56877383360461,4.2263843386041,1.33988333539279e-59,1.07190666831423e-58
"qwen25_72b","first_token","position","valenced_nonopposite","valenced","nonopposite",1.77755302652564,0.0938129912464862,204.000019140947,1.59258562086208,1.96252043218919,7.44589939861395e-47,4.46753963916837e-46
"qwen25_72b","first_token","position","neutral_opposite","neutral","opposite",2.8858029584875,0.170204449217509,204.000017073964,2.55021750291512,3.22138841405989,8.1508294209827e-41,6.52066353678616e-40
"qwen25_72b","first_token","position","valenced_opposite","valenced","opposite",1.47257029166617,0.0932248162241719,204.000019127899,1.28876256768957,1.65637801564277,3.05486465731541e-37,1.5274323286577e-36
"llama3_8b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",-0.0302047119184897,0.181899342651587,203.999977149652,-0.388848531888965,0.328439108051985,0.868280645832349,1
"llama3_8b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",1.66841962321763,0.102326374801848,203.999978513722,1.46666671193034,1.87017253450491,8.15006062583555e-39,8.15006062583555e-39
"llama3_8b","sequence","semantic","neutral_opposite","neutral","opposite",0.0770485458405378,0.185650239185027,203.999977036796,-0.28899077013161,0.443087861812686,0.678563466955042,1
"llama3_8b","sequence","semantic","valenced_opposite","valenced","opposite",1.94581464912302,0.101684823807868,203.999978573921,1.74532665884033,2.14630263940571,2.0459829315891e-47,6.13794879476731e-47
"llama3_8b","sequence","position","neutral_nonopposite","neutral","nonopposite",1.01158369112143,0.084713512752513,204.000010399772,0.844557371266483,1.17861001097638,2.86512721723479e-25,8.59538165170437e-25
"llama3_8b","sequence","position","valenced_nonopposite","valenced","nonopposite",0.847191274219719,0.0476550741213975,204.000008426404,0.753231628411792,0.941150920027645,2.51047689092846e-43,1.25523844546423e-42
"llama3_8b","sequence","position","neutral_opposite","neutral","opposite",0.896388081341682,0.0864603669010052,204.000010448264,0.725917557483789,1.06685860519958,1.67900589698087e-20,6.71602358792347e-20
"llama3_8b","sequence","position","valenced_opposite","valenced","opposite",0.928119201803388,0.0473562932818537,204.000008408077,0.834748650491126,1.02148975311565,8.62418854905093e-49,6.03693198433565e-48
"llama3_8b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",-0.0299697678247675,0.179532109234284,203.999951535432,-0.383946206512139,0.324006670862604,0.867588405281356,1
"llama3_8b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",1.66837211522211,0.100994701963612,203.999948662973,1.46924481101536,1.86749941942887,1.77749017410886e-39,3.55498034821772e-39
"llama3_8b","first_token","semantic","neutral_opposite","neutral","opposite",0.07703559924984,0.18323419169567,203.999951677566,-0.284240090645173,0.438311289144853,0.674620059050279,1
"llama3_8b","first_token","semantic","valenced_opposite","valenced","opposite",1.93432347031842,0.100361500097945,203.9999486679,1.73644462546726,2.13220231516958,7.95148263274718e-48,2.38544478982415e-47
"llama3_8b","first_token","position","neutral_nonopposite","neutral","nonopposite",1.01171324141341,0.0847462483028992,203.999983301773,0.844622378021638,1.17880410480517,2.92834609531106e-25,8.78503828593319e-25
"llama3_8b","first_token","position","valenced_nonopposite","valenced","nonopposite",0.84846338644572,0.0476734893072335,203.999981156329,0.754467432061138,0.942459340830302,2.18554983910776e-43,1.09277491955388e-42
"llama3_8b","first_token","position","neutral_opposite","neutral","opposite",0.896203263964878,0.0864937774822116,203.999983450389,0.72566686563607,1.06673966229369,1.75115892920694e-20,7.00463571682774e-20
"llama3_8b","first_token","position","valenced_opposite","valenced","opposite",0.916150917434376,0.0473745930108409,203.999981141097,0.822744285187689,1.00955754968106,5.09925149215285e-48,3.569476044507e-47
"mistral_7b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",-0.145773448311538,0.336717698318745,204.999881556002,-0.809647242858686,0.518100346235609,0.665524518974014,1
"mistral_7b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",4.06604438510274,0.188230915666995,204.99988223437,3.694927651838,4.43716111836749,9.96282399576205e-55,2.98884719872862e-54
"mistral_7b","sequence","semantic","neutral_opposite","neutral","opposite",0.0355861354227034,0.343661061768885,204.999881530114,-0.641977218846881,0.713149489692288,0.917627624150963,1
"mistral_7b","sequence","semantic","valenced_opposite","valenced","opposite",3.560680202908,0.188230915666995,204.999882241962,3.18956346964334,3.93179693617267,7.64412132830505e-47,1.52882426566101e-46
"mistral_7b","sequence","position","neutral_nonopposite","neutral","nonopposite",3.23042109648458,0.232425934931356,205.000001419624,2.77216930987293,3.68867288309622,2.22676223989755e-31,8.90704895959019e-31
"mistral_7b","sequence","position","valenced_nonopposite","valenced","nonopposite",1.5215216735138,0.129930047560114,205.000002194888,1.26535113710097,1.77769220992664,1.38346011062715e-24,4.15038033188146e-24
"mistral_7b","sequence","position","neutral_opposite","neutral","opposite",2.03966873462638,0.237218726487978,205.000001395769,1.57196746341052,2.50737000584224,2.08798276630632e-15,6.26394829891895e-15
"mistral_7b","sequence","position","valenced_opposite","valenced","opposite",0.885966149672669,0.129930047560114,205.000002186446,0.629795613259767,1.14213668608557,1.00839149275596e-10,3.02517447826789e-10
"mistral_7b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",-0.145481616886584,0.3335507085802,205.000006418737,-0.803111360983195,0.512148127210026,0.663179313339486,1
"mistral_7b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",4.04574424539012,0.186460514582137,205.000005450004,3.67811804242335,4.41337044835689,5.27809907789965e-55,1.58342972336989e-54
"mistral_7b","first_token","semantic","neutral_opposite","neutral","opposite",0.034275790138273,0.340428766402192,205.000006482402,-0.636914756824562,0.705466337101108,0.919899573247665,1
"mistral_7b","first_token","semantic","valenced_opposite","valenced","opposite",3.57234811561304,0.186460514582137,205.000005415677,3.20472191264591,3.93997431858017,1.43861840919978e-47,2.87723681839956e-47
"mistral_7b","first_token","position","neutral_nonopposite","neutral","nonopposite",3.23093479577351,0.232490077006485,204.99998103283,2.77255654615142,3.68931304539561,2.25294324087402e-31,9.01177296349607e-31
"mistral_7b","first_token","position","valenced_nonopposite","valenced","nonopposite",1.502785322703,0.12996590407017,204.999979155562,1.24654409129846,1.75902655410753,3.91544863475265e-24,1.17463459042579e-23
"mistral_7b","first_token","position","neutral_opposite","neutral","opposite",2.04177278587123,0.237284191219273,204.999981132267,1.57394244388748,2.50960312785497,2.00293109526846e-15,6.00879328580539e-15
"mistral_7b","first_token","position","valenced_opposite","valenced","opposite",0.898751110751602,0.12996590407017,204.999979141155,0.642509879346961,1.15499234215624,5.82040592050424e-11,1.74612177615127e-10
"gemma2_9b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.0837462226336318,0.309222502535728,204.999942910747,-0.525917946425293,0.693410391692557,0.786795539145057,1
"gemma2_9b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",2.83346295445975,0.172860633960623,204.999940509789,2.49265032307063,3.17427558584888,3.83874314256584e-39,7.67748628513167e-39
"gemma2_9b","sequence","semantic","neutral_opposite","neutral","opposite",0.21006534015323,0.315598895082921,204.999942944981,-0.412170546784598,0.832301227091057,0.506409526174938,1
"gemma2_9b","sequence","semantic","valenced_opposite","valenced","opposite",2.98793509948698,0.172860633960623,204.999940459277,2.64712246809736,3.3287477308766,6.80324759575175e-42,6.80324759575175e-42
"gemma2_9b","sequence","position","neutral_nonopposite","neutral","nonopposite",1.45289901889734,0.0895870595199211,204.999982699097,1.27626885877054,1.62952917902415,1.32498405834711e-38,7.94990435008265e-38
