"model_name","score_mode","component","pair_class","valence_status","opposition_status","alpha_norm","mean","ci_low","ci_high","n_pairs"
"qwen25_3b","sequence","position","neutral_opposite","neutral","opposite",0.2,2.808759684364,1.64101637328664,4.03989145134886,24
"qwen25_3b","sequence","position","valenced_nonopposite","valenced","nonopposite",0.2,-0.386373845082295,-1.13730867203278,0.374466959811464,79
"qwen25_3b","sequence","position","valenced_opposite","valenced","opposite",0.2,1.12995981797576,0.39501400930807,1.86449762966484,80
"qwen25_3b","sequence","position","neutral_nonopposite","neutral","nonopposite",0.4,10.3669630122185,9.38080395996571,11.3696866103411,25
"qwen25_3b","sequence","position","neutral_opposite","neutral","opposite",0.4,4.58219602704048,3.45065385214984,5.67510181708882,24
"qwen25_3b","sequence","position","valenced_nonopposite","valenced","nonopposite",0.4,2.49909639433969,1.90629507803087,3.13020135569799,79
"qwen25_3b","sequence","position","valenced_opposite","valenced","opposite",0.4,3.13126514256001,2.50801124759018,3.78141177425161,80
"qwen25_3b","sequence","position","neutral_nonopposite","neutral","nonopposite",0.6,11.2684954667091,10.3677173108459,12.141600220263,25
"qwen25_3b","sequence","position","neutral_opposite","neutral","opposite",0.6,5.29914300143719,4.15649010110647,6.43786220898231,24
"qwen25_3b","sequence","position","valenced_nonopposite","valenced","nonopposite",0.6,3.71268150323554,3.10696003229558,4.29952162330664,79
"qwen25_3b","sequence","position","valenced_opposite","valenced","opposite",0.6,3.82120274230838,3.21865307856351,4.45205388413742,80
"qwen25_3b","sequence","position","neutral_nonopposite","neutral","nonopposite",0.8,11.8162587928772,10.895670309484,12.7042239758968,25
"qwen25_3b","sequence","position","neutral_opposite","neutral","opposite",0.8,5.42574598888556,4.22847904432565,6.5860350623106,24
"qwen25_3b","sequence","position","valenced_nonopposite","valenced","nonopposite",0.8,3.99572941019565,3.3502121382499,4.62615321016387,79
"qwen25_3b","sequence","position","valenced_opposite","valenced","opposite",0.8,3.90625025033951,3.26938096189871,4.54910530114546,80
"qwen25_3b","sequence","position","neutral_nonopposite","neutral","nonopposite",1,11.8736848735809,10.9742823752761,12.7932049272656,25
"qwen25_3b","sequence","position","neutral_opposite","neutral","opposite",1,5.08531961341699,3.89268366092195,6.23338053431362,24
"qwen25_3b","sequence","position","valenced_nonopposite","valenced","nonopposite",1,3.89314402658728,3.23963230263583,4.57003264696915,79
"qwen25_3b","sequence","position","valenced_opposite","valenced","opposite",1,3.69970364570618,3.04678593344986,4.34433950403705,80
"qwen25_3b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",-1,-0.885,-1.9200625,0.0725624999999991,25
"qwen25_3b","first_token","semantic","neutral_opposite","neutral","opposite",-1,0.75,-0.7474609375,2.31770833333333,24
"qwen25_3b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",-1,-9.57792721518987,-10.5372033227848,-8.62814477848101,79
"qwen25_3b","first_token","semantic","valenced_opposite","valenced","opposite",-1,-9.261328125,-10.200439453125,-8.30349609375,80
"qwen25_3b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",-0.8,-0.83,-1.8325625,0.0825624999999991,25
"qwen25_3b","first_token","semantic","neutral_opposite","neutral","opposite",-0.8,0.783854166666667,-0.734440104166667,2.34635416666667,24
"qwen25_3b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",-0.8,-9.06289556962025,-9.98659018987342,-8.12763053797469,79
"qwen25_3b","first_token","semantic","valenced_opposite","valenced","opposite",-0.8,-8.8109375,-9.772685546875,-7.829619140625,80
"qwen25_3b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",-0.6,-0.7775,-1.6675625,0.0725,25
"qwen25_3b","first_token","semantic","neutral_opposite","neutral","opposite",-0.6,0.854166666666667,-0.546940104166667,2.375,24
"qwen25_3b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",-0.6,-8.48259493670886,-9.48101265822785,-7.53560126582278,79
"qwen25_3b","first_token","semantic","valenced_opposite","valenced","opposite",-0.6,-8.232421875,-9.2340234375,-7.28943359375,80
"qwen25_3b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",-0.4,-0.715,-1.58,0.075,25
"qwen25_3b","first_token","semantic","neutral_opposite","neutral","opposite",-0.4,0.856770833333333,-0.455729166666667,2.27083333333333,24
"qwen25_3b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",-0.4,-7.52650316455696,-8.50998813291139,-6.56169897151899,79
"qwen25_3b","first_token","semantic","valenced_opposite","valenced","opposite",-0.4,-7.38203125,-8.390634765625,-6.34255859375,80
"qwen25_3b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",-0.2,-0.6075,-1.3875625,0.15,25
"qwen25_3b","first_token","semantic","neutral_opposite","neutral","opposite",-0.2,0.838541666666667,-0.375065104166667,2.12760416666667,24
"qwen25_3b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",-0.2,-6.18314873417722,-7.2171875,-5.09454113924051,79
"qwen25_3b","first_token","semantic","valenced_opposite","valenced","opposite",-0.2,-6.1890625,-7.219921875,-5.147158203125,80
"qwen25_3b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",0,-0.4825,-1.1900625,0.2175,25
"qwen25_3b","first_token","semantic","neutral_opposite","neutral","opposite",0,0.770833333333333,-0.3828125,1.9583984375,24
"qwen25_3b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",0,-4.3184335443038,-5.43040941455696,-3.23488924050633,79
