"contrast","opposition_status","estimate","SE","df","ci_low","ci_high","p_value","model_name","score_mode","component","contrast_family","contrast_stratum","valence_status","p_holm_across_models"
"opposite - nonopposite",NA,-1.14339255450922,0.499263123304354,204.000008587402,-2.12777012804765,-0.159014980970795,0.0230345808268717,"qwen25_14b","sequence","position","opposite_minus_nonopposite_within_valence","neutral","neutral",0.0921383233074869
"opposite - nonopposite",NA,0.502161121466762,0.277106745308959,204.000009132937,-0.0441994103278617,1.04852165326139,0.0714321778873988,"qwen25_14b","sequence","position","opposite_minus_nonopposite_within_valence","valenced","valenced",0.214296533662196
"valenced - neutral","nonopposite",9.97804200568941,0.761897308529679,203.999988206517,8.47583888013267,11.4802451312462,7.66971948887747e-29,"qwen25_14b","first_token","semantic","valenced_minus_neutral_within_opposition","nonopposite",NA,3.83485974443874e-28
"valenced - neutral","opposite",9.19481265959784,0.772732849807975,203.999988274812,7.67124552108186,10.7183797981138,3.86049248914168e-25,"qwen25_14b","first_token","semantic","valenced_minus_neutral_within_opposition","opposite",NA,1.93024624457084e-24
"opposite - nonopposite",NA,0.316548186196417,0.94882415978849,203.999988432342,-1.55421130129833,2.18730767369116,0.739007824512245,"qwen25_14b","first_token","semantic","opposite_minus_nonopposite_within_valence","neutral","neutral",1
"opposite - nonopposite",NA,-0.466681159895152,0.526627268301585,203.999987566726,-1.50501154852395,0.571649228733646,0.376569490087774,"qwen25_14b","first_token","semantic","opposite_minus_nonopposite_within_valence","valenced","valenced",1
"valenced - neutral","nonopposite",-3.38147804130059,0.400430300417261,203.999948434236,-4.1709908047924,-2.59196527780877,5.67923593972074e-15,"qwen25_14b","first_token","position","valenced_minus_neutral_within_opposition","nonopposite",NA,3.40754156383244e-14
"valenced - neutral","opposite",-1.74026712744623,0.406125134879433,203.999948448968,-2.54100817333584,-0.939526081556614,2.81467244173273e-05,"qwen25_14b","first_token","position","valenced_minus_neutral_within_opposition","opposite",NA,0.000197027070921291
"opposite - nonopposite",NA,-1.14196254712279,0.498673428943416,203.999948536899,-2.12517744508035,-0.158747649165226,0.0230440019181108,"qwen25_14b","first_token","position","opposite_minus_nonopposite_within_valence","neutral","neutral",0.0921760076724434
"opposite - nonopposite",NA,0.499248366731571,0.276779446380889,203.999948119699,-0.0464668435415151,1.04496357700466,0.0727415792682419,"qwen25_14b","first_token","position","opposite_minus_nonopposite_within_valence","valenced","valenced",0.218224737804726
"valenced - neutral","nonopposite",9.88819698307138,0.643031680861061,203.999980265838,8.62035656648034,11.1560373996624,6.06786651861461e-36,"qwen25_32b","sequence","semantic","valenced_minus_neutral_within_opposition","nonopposite",NA,4.24750656303022e-35
"valenced - neutral","opposite",10.5655213795955,0.652176740494711,203.99998025714,9.279650006582,11.8513927526091,1.71292030858769e-38,"qwen25_32b","sequence","semantic","valenced_minus_neutral_within_opposition","opposite",NA,1.19904421601138e-37
"opposite - nonopposite",NA,-0.272465845446954,0.800795576358968,203.999980276824,-1.85136316474445,1.30643147385054,0.734022919242819,"qwen25_32b","sequence","semantic","opposite_minus_nonopposite_within_valence","neutral","neutral",1
"opposite - nonopposite",NA,0.404858551077205,0.444466746019559,203.999980222183,-0.471479149237096,1.28119625139151,0.363430476601079,"qwen25_32b","sequence","semantic","opposite_minus_nonopposite_within_valence","valenced","valenced",1
"valenced - neutral","nonopposite",-3.53048968423406,0.305135126036106,203.999983196237,-4.13211267854592,-2.92886668992221,3.92820963872813e-24,"qwen25_32b","sequence","position","valenced_minus_neutral_within_opposition","nonopposite",NA,3.14256771098251e-23
"valenced - neutral","opposite",-0.742609025737975,0.309474692821035,203.999983227739,-1.35278817416066,-0.132429877315287,0.0173131399960429,"qwen25_32b","sequence","position","valenced_minus_neutral_within_opposition","opposite",NA,0.0346262799920857
"opposite - nonopposite",NA,-2.68646977786857,0.379998165555776,203.999983427344,-3.43569729933747,-1.93724225639967,2.42106199161772e-11,"qwen25_32b","sequence","position","opposite_minus_nonopposite_within_valence","neutral","neutral",1.93684959329418e-10
"opposite - nonopposite",NA,0.101410880627517,0.21091094047486,203.999982512295,-0.31443397208583,0.517255733340864,0.631157403305318,"qwen25_32b","sequence","position","opposite_minus_nonopposite_within_valence","valenced","valenced",0.631157403305318
"valenced - neutral","nonopposite",9.88498111407192,0.641968786800757,203.999931479058,8.61923636232416,11.1507258658197,5.24232699198537e-36,"qwen25_32b","first_token","semantic","valenced_minus_neutral_within_opposition","nonopposite",NA,3.66962889438976e-35
"valenced - neutral","opposite",10.5434185226748,0.651098730181422,203.999931494179,9.25967261860459,11.827164426745,1.80195791897803e-38,"qwen25_32b","first_token","semantic","valenced_minus_neutral_within_opposition","opposite",NA,1.26137054328462e-37
"opposite - nonopposite",NA,-0.27255180041684,0.799471907732735,203.999931582391,-1.84883929629704,1.30373569546336,0.733518573174788,"qwen25_32b","first_token","semantic","opposite_minus_nonopposite_within_valence","neutral","neutral",1
"opposite - nonopposite",NA,0.38588560818605,0.443732068275978,203.999931209625,-0.489003558008316,1.26077477438042,0.38552113899796,"qwen25_32b","first_token","semantic","opposite_minus_nonopposite_within_valence","valenced","valenced",1
"valenced - neutral","nonopposite",-3.52857830983156,0.304605083423172,203.999996416221,-4.12915623962097,-2.92800038004215,3.56317501516052e-24,"qwen25_32b","first_token","position","valenced_minus_neutral_within_opposition","nonopposite",NA,2.85054001212842e-23
"valenced - neutral","opposite",-0.762427838989717,0.308937112054931,203.999996344059,-1.37154706020672,-0.153308617772719,0.0144136754831994,"qwen25_32b","first_token","position","valenced_minus_neutral_within_opposition","opposite",NA,0.0288273509663989
"opposite - nonopposite",NA,-2.68776532001937,0.379338080225064,203.999995850265,-3.43569137678556,-1.93983926325318,2.21044495854265e-11,"qwen25_32b","first_token","position","opposite_minus_nonopposite_within_valence","neutral","neutral",1.76835596683412e-10
"opposite - nonopposite",NA,0.0783851508224718,0.210544572343344,203.999998082136,-0.336737347985377,0.49350764963032,0.710058067183799,"qwen25_32b","first_token","position","opposite_minus_nonopposite_within_valence","valenced","valenced",0.710058067183799
"valenced - neutral","nonopposite",5.54280899923754,0.440097535494285,204.000017556547,4.67508590138649,6.4105320970886,2.76367296592715e-27,"qwen25_72b","sequence","semantic","valenced_minus_neutral_within_opposition","nonopposite",NA,1.10546918637086e-26
"valenced - neutral","opposite",5.19173725368866,0.446356508926711,204.000017378265,4.31167358271426,6.07180092466306,2.55455784747404e-24,"qwen25_72b","sequence","semantic","valenced_minus_neutral_within_opposition","opposite",NA,1.02182313898962e-23
"opposite - nonopposite",NA,0.570908585215007,0.548072777873687,204.000016738307,-0.509705074985661,1.65152224541567,0.29879963323504,"qwen25_72b","sequence","semantic","opposite_minus_nonopposite_within_valence","neutral","neutral",1
"opposite - nonopposite",NA,0.219836839666123,0.304197639641079,204.000019862174,-0.379937748742047,0.819611428074293,0.470705619705556,"qwen25_72b","sequence","semantic","opposite_minus_nonopposite_within_valence","valenced","valenced",1
"valenced - neutral","nonopposite",-2.11738066306054,0.1922405372227,204.000032441357,-2.49641381131812,-1.73834751480295,1.92673574535451e-22,"qwen25_72b","sequence","position","valenced_minus_neutral_within_opposition","nonopposite",NA,1.34871502174815e-21
"valenced - neutral","opposite",-1.41635551837811,0.194974541206069,204.000032533272,-1.80077919535528,-1.03193184140095,7.78204710496674e-12,"qwen25_72b","sequence","position","valenced_minus_neutral_within_opposition","opposite",NA,6.22563768397339e-11
"opposite - nonopposite",NA,-1.00984670352931,0.239405578895691,204.000033163416,-1.48187331970666,-0.53782008735196,3.7033434857088e-05,"qwen25_72b","sequence","position","opposite_minus_nonopposite_within_valence","neutral","neutral",0.000259234043999616
"opposite - nonopposite",NA,-0.308821558846887,0.132877630411626,204.000030284558,-0.570811185586012,-0.0468319321077619,0.0211041626903291,"qwen25_72b","sequence","position","opposite_minus_nonopposite_within_valence","valenced","valenced",0.105520813451645
"valenced - neutral","nonopposite",5.54277496296864,0.439826572832422,204.000012069873,4.67558611146104,6.40996381447624,2.61639253048933e-27,"qwen25_72b","first_token","semantic","valenced_minus_neutral_within_opposition","nonopposite",NA,1.04655701219573e-26
"valenced - neutral","opposite",5.18872567534296,0.446081692691573,204.000012017389,4.30920384865299,6.06824750203294,2.54711050512911e-24,"qwen25_72b","first_token","semantic","valenced_minus_neutral_within_opposition","opposite",NA,1.01884420205165e-23
