"model_name","target_layer","score_mode","component","pair_id","pair_class","valence_status","opposition_status","slope","std_error","t_value","p_value","p_fdr_within_model_component","abs_slope"
"qwen25_3b",26,"first_token","semantic","valenced_opposite::deontic::006","valenced_opposite","valenced","opposite",5.39743300633285,0.665940979,8.10497202685713,1.99424582759521e-05,4.41279927808301e-05,5.39743300633285
"qwen25_3b",26,"first_token","semantic","valenced_opposite::deontic::007","valenced_opposite","valenced","opposite",5.23033537997168,0.829705213272791,6.30384779594249,0.000140341283473916,0.000174796329117213,5.23033537997168
"qwen25_3b",26,"first_token","semantic","valenced_opposite::deontic::008","valenced_opposite","valenced","opposite",6.51501067941508,0.596258324804769,10.9264900939509,1.70354750452864e-06,1.61062673155435e-05,6.51501067941508
"qwen25_3b",26,"first_token","semantic","valenced_opposite::deontic::009","valenced_opposite","valenced","opposite",6.56891313953159,0.908685199874057,7.22903062627413,4.92630086398824e-05,7.64679537096682e-05,6.56891313953159
"qwen25_3b",26,"first_token","semantic","valenced_opposite::deontic::010","valenced_opposite","valenced","opposite",5.11893696239756,0.551971732313934,9.27391143915711,6.67667413132853e-06,3.05877014504093e-05,5.11893696239756
"qwen25_3b",26,"first_token","semantic","valenced_opposite::deontic::011","valenced_opposite","valenced","opposite",6.72523027386945,0.846226660505572,7.94731552164938,2.33337650212026e-05,4.80977180972182e-05,6.72523027386945
"qwen25_3b",26,"first_token","semantic","valenced_opposite::deontic::012","valenced_opposite","valenced","opposite",4.93207510066034,0.488436284501313,10.0976836839547,3.29992062851958e-06,2.20139960862167e-05,4.93207510066034
"qwen25_3b",26,"first_token","semantic","valenced_opposite::deontic::013","valenced_opposite","valenced","opposite",5.01472553950565,0.742158221898469,6.75694938294666,8.29931603322405e-05,0.000110657547109654,5.01472553950565
"qwen25_3b",26,"first_token","semantic","valenced_opposite::deontic::014","valenced_opposite","valenced","opposite",1.85604137667837,0.730135375811239,2.54205101980734,0.0316042491327179,0.0330335870331926,1.85604137667837
"qwen25_3b",26,"first_token","semantic","valenced_opposite::deontic::015","valenced_opposite","valenced","opposite",8.15005196961578,1.12117756908268,7.26918928308918,4.71794278157603e-05,7.49108472189171e-05,8.15005196961578
"qwen25_3b",26,"first_token","semantic","valenced_opposite::deontic::016","valenced_opposite","valenced","opposite",5.34892079222799,0.760800664393263,7.03064684688958,6.11467082917312e-05,8.77138987908972e-05,5.34892079222799
"qwen25_3b",26,"first_token","semantic","valenced_opposite::deontic::017","valenced_opposite","valenced","opposite",4.31579030666162,0.606674641593816,7.11384655096752,5.58188076691473e-05,8.23426382637067e-05,4.31579030666162
"qwen25_3b",26,"first_token","semantic","valenced_opposite::deontic::018","valenced_opposite","valenced","opposite",5.51781516725971,0.615462991657575,8.96530781225211,8.81201641907076e-06,3.17613326639652e-05,5.51781516725971
"qwen25_3b",26,"first_token","semantic","valenced_opposite::deontic::019","valenced_opposite","valenced","opposite",6.47188871132188,0.789660536323212,8.19578592778113,1.8237269334881e-05,4.26219328275871e-05,6.47188871132188
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::000","valenced_opposite","valenced","opposite",6.09097799316523,0.934931053276211,6.51489537310913,0.000109538286768467,0.000138084628168734,6.09097799316523
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::001","valenced_opposite","valenced","opposite",7.58946638440411,1.03403610133367,7.33965320419221,4.37527580410683e-05,7.05470827328854e-05,7.58946638440411
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::002","valenced_opposite","valenced","opposite",9.78509325981647,1.45757113100129,6.71328695505552,8.72082673735926e-05,0.000114805820339919,9.78509325981647
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::003","valenced_opposite","valenced","opposite",3.78934294619041,0.693905639231319,5.46089083580311,0.000399963135946107,0.00046476163283123,3.78934294619041
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::004","valenced_opposite","valenced","opposite",6.94443361167658,0.947184634698245,7.33165779646431,4.41275135544011e-05,7.06040216870417e-05,6.94443361167658
"qwen25_3b",26,"first_token","semantic","valenced_opposite::epistemic::005","valenced_opposite","valenced","opposite",5.64179082552768,0.85426534738719,6.60426042421521,9.8789965020178e-05,0.000126063268246608,5.64179082552768
