"model_name","score_mode","pair_class","valence_status","opposition_status","estimate","SE","df","ci_low","ci_high","p_value","p_holm_across_models"
"qwen25_72b","sequence","valenced_nonopposite","valenced","nonopposite",1.12113788478705,0.119468374972631,204,0.885586762322136,1.35668900725196,1.27429143182413e-17,6.37145715912066e-17
"qwen25_72b","sequence","neutral_opposite","neutral","opposite",-0.885986668106069,0.216750885894911,204,-1.31334591258819,-0.458627423623947,6.26692328398133e-05,0.000250676931359253
"qwen25_72b","sequence","valenced_opposite","valenced","opposite",1.51192280191479,0.118719349563871,204,1.27784850355357,1.74599710027601,1.01249837178121e-27,5.06249185890606e-27
"qwen25_72b","first_token","neutral_nonopposite","neutral","nonopposite",-2.02182517985717,0.21480769338844,204,-2.44535310767353,-1.59829725204082,1.05931341597148e-17,7.41519391180034e-17
"qwen25_72b","first_token","valenced_nonopposite","valenced","nonopposite",1.1204765554571,0.12083876842858,204,0.882223481811874,1.35872962910232,2.67044888841976e-17,1.33522444420988e-16
"qwen25_72b","first_token","neutral_opposite","neutral","opposite",-0.890960960469093,0.21923718401079,204,-1.32322234170592,-0.45869957923227,6.88472550555369e-05,0.000275389020222148
"qwen25_72b","first_token","valenced_opposite","valenced","opposite",1.52867505920042,0.120081151126621,204,1.29191574995867,1.76543436844217,1.04867565716237e-27,5.24337828581185e-27
"llama3_8b","sequence","neutral_nonopposite","neutral","nonopposite",-1.18817103608802,0.196086027782997,204,-1.57478618804394,-0.8015558841321,6.49414429237976e-09,1.94824328771393e-08
"llama3_8b","sequence","valenced_nonopposite","valenced","nonopposite",0.642814591668929,0.110307008699647,204,0.425326576778787,0.860302606559071,2.16975763917689e-08,4.33951527835379e-08
"llama3_8b","sequence","neutral_opposite","neutral","opposite",-0.99664431665656,0.200129464065645,204,-1.39123175379014,-0.602056879522981,1.35172869762272e-06,9.46210088335906e-06
"llama3_8b","sequence","valenced_opposite","valenced","opposite",0.820179381263623,0.109615421890173,204,0.60405494103741,1.03630382148984,2.13870240790094e-12,4.27740481580187e-12
"llama3_8b","first_token","neutral_nonopposite","neutral","nonopposite",-1.18646410460681,0.204109522354011,204,-1.58889886700547,-0.784029342208157,2.33880196439876e-08,7.01640589319627e-08
"llama3_8b","first_token","valenced_nonopposite","valenced","nonopposite",0.645143167835363,0.114820577032144,204,0.41875592679198,0.871530408878746,6.25720817924575e-08,1.25144163584915e-07
"llama3_8b","first_token","neutral_opposite","neutral","opposite",-1.00045022410028,0.208318408921051,204,-1.41118348353149,-0.589716964669079,3.02936322633717e-06,1.8176179358023e-05
"llama3_8b","first_token","valenced_opposite","valenced","opposite",0.85550764860089,0.114100691709645,204,0.630539777292797,1.08047551990898,1.94958977478049e-12,3.89917954956098e-12
"mistral_7b","sequence","neutral_nonopposite","neutral","nonopposite",-1.93894415758379,0.270928755782796,205,-2.47310824053653,-1.40478007463105,1.44353390032608e-11,5.77413560130433e-11
"mistral_7b","sequence","valenced_nonopposite","valenced","nonopposite",1.06381672114565,0.151453778747443,205,0.765209920990356,1.36242352130094,3.11608242573952e-11,9.34824727721855e-11
"mistral_7b","sequence","neutral_opposite","neutral","opposite",-0.805174667446216,0.276515503464569,205,-1.35035360167785,-0.259995733214583,0.00399056021961859,0.00798112043923717
"mistral_7b","sequence","valenced_opposite","valenced","opposite",1.42406681755981,0.151453778747443,205,1.12546001740452,1.7226736177151,1.09623401497049e-17,3.28870204491146e-17
"mistral_7b","first_token","neutral_nonopposite","neutral","nonopposite",-1.9364015730439,0.265738640110708,205,-2.46033280577597,-1.41247034031184,6.72829589445949e-12,2.69131835778379e-11
"mistral_7b","first_token","valenced_nonopposite","valenced","nonopposite",1.099706111201,0.148552415883974,205,0.806819648219964,1.39259257418204,3.38768951944047e-12,1.01630685583214e-11
"mistral_7b","first_token","neutral_opposite","neutral","opposite",-0.818743601118092,0.271218363838471,205,-1.35347867632682,-0.284008525909368,0.00286024589688046,0.00572049179376093
"mistral_7b","first_token","valenced_opposite","valenced","opposite",1.42553553020417,0.148552415883974,205,1.13264906722313,1.71842199318521,3.01699208336946e-18,9.05097625010837e-18
"gemma2_9b","sequence","neutral_nonopposite","neutral","nonopposite",-1.35307491360589,0.177663924724282,205,-1.70335772928536,-1.00279209792643,9.45329598182576e-13,4.72664799091288e-12
"gemma2_9b","sequence","valenced_nonopposite","valenced","nonopposite",0.813437276809717,0.0993171532082251,205,0.617623230007391,1.00925132361204,2.76433985638971e-14,1.10573594255588e-13
"gemma2_9b","sequence","neutral_opposite","neutral","opposite",-1.16054170198979,0.181327483864471,205,-1.51804760368981,-0.803035800289771,1.0361246647721e-09,8.28899731817681e-09
"gemma2_9b","sequence","valenced_opposite","valenced","opposite",1.05987129689666,0.0993171532082251,205,0.864057250094337,1.25568534369899,1.98618438309981e-21,7.94473753239926e-21
"gemma2_9b","first_token","neutral_nonopposite","neutral","nonopposite",-1.35298982536715,0.175244019940227,205,-1.69850154830648,-1.00747810242782,5.0147940375292e-13,2.5073970187646e-12
"gemma2_9b","first_token","valenced_nonopposite","valenced","nonopposite",0.799147183596492,0.0979643853091691,205,0.606000258717638,0.992294108475347,3.39311005288298e-14,1.35724402115319e-13
"gemma2_9b","first_token","neutral_opposite","neutral","opposite",-1.14181868456057,0.178857678886532,205,-1.49445511012359,-0.789182258997557,1.13245356622848e-09,9.05962852982782e-09
"gemma2_9b","first_token","valenced_opposite","valenced","opposite",1.05513758316861,0.0979643853091691,205,0.861990658289751,1.24828450804746,1.00009647940578e-21,4.00038591762313e-21
